k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
S_E2;R_S4;17;4;21;514;64;16;4352;0;0
S_E2;S_J5;17;3;21;258;64;16;4352;0;1
S_E2;S_O2;17;3;21;3;64;16;4352;0;1
S_E2;S_O4;17;3;21;66;64;55;4352;776;0
S_E2;R_E2;17;3;21;514;64;17;4352;0;1
S_E2;R_P1;17;4;21;34;64;94;4352;0;0
S_E4;S_O5;17;3;21;66;64;16;4352;0;1
S_E4;R_N1;17;3;21;18;64;53;4352;1024;1
S_E4;S_J4;17;3;21;258;64;18;4352;0;1
S_E4;R_S3;17;4;21;514;64;26;4352;16;1
S_E4;P_K1;17;3;21;258;64;33;4352;13312;1
S_E4;S_K4;17;10;21;258;64;16;4352;16;0
S_E4;S_K1;17;10;21;258;64;17;4352;2048;1
S_E4;R_T1;17;10;21;130;64;16;4352;0;0
S_E4;R_S4;17;4;21;514;64;16;4352;0;1
S_E4;S_L8;17;10;21;130;64;56;4352;0;1
S_E4;S_J5;17;3;21;258;64;16;4352;0;1
S_E4;S_O2;17;3;21;3;64;16;4352;0;1
S_E4;R_E2;17;3;21;514;64;17;4352;0;1
S_E4;R_P1;17;4;21;34;64;94;4352;0;1
S_P38;R_N1;34;3;130;18;54;53;0;1024;1
S_P38;R_S3;34;4;130;514;54;26;0;16;1
S_P38;R_T1;34;10;130;130;54;16;0;0;1
S_P38;R_S4;34;4;130;514;54;16;0;0;0
S_P38;S_O2;34;3;130;3;54;16;0;0;1
S_P38;S_O4;34;3;130;66;54;55;0;776;1
S_P16;S_O5;110;3;130;66;35;16;0;0;1
S_P16;R_N1;110;3;130;18;35;53;0;1024;1
S_P16;S_O4;110;3;130;66;35;55;0;776;0
S_P37;S_O5;34;3;130;66;64;16;0;0;1
S_P37;R_N1;34;3;130;18;64;53;0;1024;1
S_P37;S_J4;34;3;130;258;64;18;0;0;0
S_P37;R_S3;34;4;130;514;64;26;0;16;1
S_P37;R_T1;34;10;130;130;64;16;0;0;1
S_P37;R_S4;34;4;130;514;64;16;0;0;1
S_P37;S_O2;34;3;130;3;64;16;0;0;1
S_P37;S_O4;34;3;130;66;64;55;0;776;1
S_D3;R_N1;130;3;66;18;62;53;4608;1024;1
S_D3;P_K1;130;3;66;258;62;33;4608;13312;1
S_D3;R_T1;130;10;66;130;62;16;4608;0;1
S_D3;S_L8;130;10;66;130;62;56;4608;0;1
S_D3;S_J5;130;3;66;258;62;16;4608;0;1
S_D3;S_O2;130;3;66;3;62;16;4608;0;1
S_D3;S_O4;130;3;66;66;62;55;4608;776;1
S_D3;R_E2;130;3;66;514;62;17;4608;0;1
S_D3;R_P1;130;4;66;34;62;94;4608;0;1
S_P22;S_O5;110;3;130;66;64;16;0;0;1
S_P22;R_N1;110;3;130;18;64;53;0;1024;1
S_P22;S_K4;110;10;130;258;64;16;0;16;0
S_P22;S_K1;110;10;130;258;64;17;0;2048;0
S_P22;R_T1;110;10;130;130;64;16;0;0;1
S_P22;R_S4;110;4;130;514;64;16;0;0;0
S_P22;S_J5;110;3;130;258;64;16;0;0;0
S_P22;S_O2;110;3;130;3;64;16;0;0;1
S_P22;S_O4;110;3;130;66;64;55;0;776;0
S_P22;R_E2;110;3;130;514;64;17;0;0;0
S_P22;R_P1;110;4;130;34;64;94;0;0;0
S_D5;S_O5;130;3;66;66;62;16;4608;0;1
S_D5;P_K1;130;3;66;258;62;33;4608;13312;1
S_D5;S_K4;130;10;66;258;62;16;4608;16;0
S_D5;S_K1;130;10;66;258;62;17;4608;2048;0
S_D5;R_T1;130;10;66;130;62;16;4608;0;1
S_D5;S_L8;130;10;66;130;62;56;4608;0;1
S_D5;S_J5;130;3;66;258;62;16;4608;0;1
S_D5;S_O2;130;3;66;3;62;16;4608;0;1
S_D5;S_O4;130;3;66;66;62;55;4608;776;1
S_D5;R_E2;130;3;66;514;62;17;4608;0;1
S_D5;R_P1;130;4;66;34;62;94;4608;0;1
S_P40;S_O5;34;3;130;66;64;16;0;0;1
S_P40;R_N1;34;3;130;18;64;53;0;1024;1
S_P40;R_S3;34;4;130;514;64;26;0;16;1
S_P40;R_T1;34;10;130;130;64;16;0;0;1
S_P40;R_S4;34;4;130;514;64;16;0;0;1
S_P40;S_O2;34;3;130;3;64;16;0;0;1
S_P40;S_O4;34;3;130;66;64;55;0;776;1
S_P40;R_P1;34;4;130;34;64;94;0;0;1
S_P19;S_O5;110;3;130;66;38;16;0;0;1
S_P19;R_N1;110;3;130;18;38;53;0;1024;1
S_P19;S_J4;110;3;130;258;38;18;0;0;1
S_P19;R_S3;110;4;130;514;38;26;0;16;0
S_P19;R_T1;110;10;130;130;38;16;0;0;0
S_P19;S_O2;110;3;130;3;38;16;0;0;1
S_P19;S_O4;110;3;130;66;38;55;0;776;0
S_O3;S_O5;258;3;66;66;32;16;0;0;1
S_O3;R_N1;258;3;66;18;32;53;0;1024;1
S_O3;R_S3;258;4;66;514;32;26;0;16;1
S_O3;P_K1;258;3;66;258;32;33;0;13312;0
S_O3;S_K4;258;10;66;258;32;16;0;16;1
S_O3;S_K1;258;10;66;258;32;17;0;2048;1
S_O3;R_S4;258;4;66;514;32;16;0;0;0
S_O3;S_J5;258;3;66;258;32;16;0;0;1
S_O3;S_O2;258;3;66;3;32;16;0;0;1
S_O3;S_O4;258;3;66;66;32;55;0;776;0
S_P9;S_O5;110;3;130;66;64;16;0;0;0
S_P9;R_N1;110;3;130;18;64;53;0;1024;1
S_P9;S_J4;110;3;130;258;64;18;0;0;0
S_P9;R_S3;110;4;130;514;64;26;0;16;1
S_P9;S_K4;110;10;130;258;64;16;0;16;1
S_P9;S_K1;110;10;130;258;64;17;0;2048;1
S_P9;R_S4;110;4;130;514;64;16;0;0;0
S_P9;S_J5;110;3;130;258;64;16;0;0;1
S_P9;S_O2;110;3;130;3;64;16;0;0;1
S_P9;S_O4;110;3;130;66;64;55;0;776;0
S_P15;S_O1;110;258;130;66;30;59;0;512;0
S_P15;P_E8;110;2596;130;258;30;41;0;4484;1
S_P15;R_D2;110;22;130;194;30;48;0;8728;0
S_P15;P_D1;110;271;130;122;30;53;0;0;0
S_P15;P_E2;110;2596;130;258;30;28;0;4160;0
S_P15;P_I1;110;767;130;194;30;30;0;0;0
S_P15;P_J1;110;35;130;37;30;33;0;0;1
S_P15;R_H1;110;173;130;33;30;39;0;3072;0
S_P15;R_I1;110;1026;130;258;30;58;0;16;1
S_P15;P_H1;110;75;130;25;30;64;0;512;1
S_P15;S_M1;110;67;130;258;30;59;0;0;0
S_P15;P_F1;110;130;130;258;30;24;0;0;0
S_P4;S_O1;34;258;130;66;60;59;0;512;0
S_P4;P_E8;34;2596;130;258;60;41;0;4484;1
S_P4;R_D2;34;22;130;194;60;48;0;8728;1
S_P4;P_D1;34;271;130;122;60;53;0;0;0
S_P4;P_E2;34;2596;130;258;60;28;0;4160;0
S_P4;P_I1;34;767;130;194;60;30;0;0;0
S_P4;P_J1;34;35;130;37;60;33;0;0;1
S_P4;R_H1;34;173;130;33;60;39;0;3072;0
S_P4;R_I1;34;1026;130;258;60;58;0;16;0
S_P4;P_H1;34;75;130;25;60;64;0;512;1
S_P4;S_M1;34;67;130;258;60;59;0;0;0
S_P4;P_F1;34;130;130;258;60;24;0;0;1
S_P4;P_G3;34;188;130;37;60;40;0;0;1
S_P5;S_O1;110;258;130;66;52;59;0;512;0
S_P5;P_E8;110;2596;130;258;52;41;0;4484;0
S_P5;R_D2;110;22;130;194;52;48;0;8728;0
S_P5;P_D1;110;271;130;122;52;53;0;0;0
S_P5;P_E2;110;2596;130;258;52;28;0;4160;1
S_P5;P_I1;110;767;130;194;52;30;0;0;0
S_P5;R_H1;110;173;130;33;52;39;0;3072;0
S_P5;R_I1;110;1026;130;258;52;58;0;16;0
S_P5;P_H1;110;75;130;25;52;64;0;512;0
S_P5;S_M1;110;67;130;258;52;59;0;0;0
S_P5;P_F1;110;130;130;258;52;24;0;0;0
S_E2;S_O1;17;258;21;66;64;59;4352;512;0
S_E2;P_E8;17;2596;21;258;64;41;4352;4484;1
S_E2;R_D2;17;22;21;194;64;48;4352;8728;1
S_E2;P_D1;17;271;21;122;64;53;4352;0;0
S_E2;P_E2;17;2596;21;258;64;28;4352;4160;0
S_E2;P_I1;17;767;21;194;64;30;4352;0;0
S_E2;P_J1;17;35;21;37;64;33;4352;0;1
S_E2;R_H1;17;173;21;33;64;39;4352;3072;0
S_E2;R_I1;17;1026;21;258;64;58;4352;16;1
S_E2;P_H1;17;75;21;25;64;64;4352;512;0
S_E2;S_M1;17;67;21;258;64;59;4352;0;0
S_E2;P_F1;17;130;21;258;64;24;4352;0;0
S_E2;P_G3;17;188;21;37;64;40;4352;0;1
S_E4;P_E8;17;2596;21;258;64;41;4352;4484;0
S_E4;R_D2;17;22;21;194;64;48;4352;8728;1
S_E4;P_D1;17;271;21;122;64;53;4352;0;0
S_E4;P_E2;17;2596;21;258;64;28;4352;4160;0
S_E4;P_I1;17;767;21;194;64;30;4352;0;0
S_E4;P_J1;17;35;21;37;64;33;4352;0;0
S_E4;R_H1;17;173;21;33;64;39;4352;3072;0
S_E4;R_I1;17;1026;21;258;64;58;4352;16;1
S_E4;P_H1;17;75;21;25;64;64;4352;512;0
S_E4;S_M1;17;67;21;258;64;59;4352;0;0
S_E4;P_F1;17;130;21;258;64;24;4352;0;0
S_E4;P_G3;17;188;21;37;64;40;4352;0;1
S_P38;S_O1;34;258;130;66;54;59;0;512;0
S_P38;P_E8;34;2596;130;258;54;41;0;4484;1
S_P38;R_D2;34;22;130;194;54;48;0;8728;0
S_P38;P_D1;34;271;130;122;54;53;0;0;0
S_P38;P_E2;34;2596;130;258;54;28;0;4160;1
S_P38;P_I1;34;767;130;194;54;30;0;0;0
S_P38;P_J1;34;35;130;37;54;33;0;0;1
S_P38;R_H1;34;173;130;33;54;39;0;3072;0
S_P38;R_I1;34;1026;130;258;54;58;0;16;1
S_P38;P_H1;34;75;130;25;54;64;0;512;1
S_P38;S_M1;34;67;130;258;54;59;0;0;0
S_P38;P_F1;34;130;130;258;54;24;0;0;1
S_P38;P_G3;34;188;130;37;54;40;0;0;0
S_P16;S_O1;110;258;130;66;35;59;0;512;0
S_P16;P_E8;110;2596;130;258;35;41;0;4484;1
S_P16;P_D1;110;271;130;122;35;53;0;0;0
S_P16;P_E2;110;2596;130;258;35;28;0;4160;1
S_P16;P_I1;110;767;130;194;35;30;0;0;1
S_P16;R_H1;110;173;130;33;35;39;0;3072;0
S_P16;R_I1;110;1026;130;258;35;58;0;16;1
S_P16;P_H1;110;75;130;25;35;64;0;512;0
S_P16;S_M1;110;67;130;258;35;59;0;0;1
S_P37;S_O1;34;258;130;66;64;59;0;512;0
S_P37;P_E8;34;2596;130;258;64;41;0;4484;1
S_P37;R_D2;34;22;130;194;64;48;0;8728;0
S_P37;P_D1;34;271;130;122;64;53;0;0;0
S_P37;P_E2;34;2596;130;258;64;28;0;4160;0
S_P37;P_I1;34;767;130;194;64;30;0;0;0
S_P37;P_J1;34;35;130;37;64;33;0;0;1
S_P37;R_H1;34;173;130;33;64;39;0;3072;0
S_P37;R_I1;34;1026;130;258;64;58;0;16;1
S_P37;P_H1;34;75;130;25;64;64;0;512;1
S_P37;S_M1;34;67;130;258;64;59;0;0;0
S_P37;P_F1;34;130;130;258;64;24;0;0;1
S_P37;P_G3;34;188;130;37;64;40;0;0;1
S_D3;S_O1;130;258;66;66;62;59;4608;512;0
S_D3;P_E8;130;2596;66;258;62;41;4608;4484;0
S_D3;R_D2;130;22;66;194;62;48;4608;8728;1
S_D3;P_D1;130;271;66;122;62;53;4608;0;0
S_D3;P_E2;130;2596;66;258;62;28;4608;4160;0
S_D3;P_I1;130;767;66;194;62;30;4608;0;0
S_D3;P_J1;130;35;66;37;62;33;4608;0;0
S_D3;R_H1;130;173;66;33;62;39;4608;3072;0
S_D3;R_I1;130;1026;66;258;62;58;4608;16;0
S_D3;P_H1;130;75;66;25;62;64;4608;512;0
S_D3;S_M1;130;67;66;258;62;59;4608;0;0
S_D3;P_F1;130;130;66;258;62;24;4608;0;0
S_P22;S_O1;110;258;130;66;64;59;0;512;0
S_P22;P_E8;110;2596;130;258;64;41;0;4484;1
S_P22;R_D2;110;22;130;194;64;48;0;8728;0
S_P22;P_D1;110;271;130;122;64;53;0;0;0
S_P22;P_E2;110;2596;130;258;64;28;0;4160;1
S_P22;P_I1;110;767;130;194;64;30;0;0;1
S_P22;P_J1;110;35;130;37;64;33;0;0;1
S_P22;R_H1;110;173;130;33;64;39;0;3072;0
S_P22;R_I1;110;1026;130;258;64;58;0;16;1
S_P22;P_H1;110;75;130;25;64;64;0;512;1
S_P22;S_M1;110;67;130;258;64;59;0;0;1
S_P22;P_F1;110;130;130;258;64;24;0;0;0
S_P22;P_G3;110;188;130;37;64;40;0;0;1
S_D5;S_O1;130;258;66;66;62;59;4608;512;0
S_D5;P_E8;130;2596;66;258;62;41;4608;4484;1
S_D5;R_D2;130;22;66;194;62;48;4608;8728;1
S_D5;P_D1;130;271;66;122;62;53;4608;0;0
S_D5;P_E2;130;2596;66;258;62;28;4608;4160;0
S_D5;P_I1;130;767;66;194;62;30;4608;0;0
S_D5;P_J1;130;35;66;37;62;33;4608;0;0
S_D5;R_H1;130;173;66;33;62;39;4608;3072;0
S_D5;R_I1;130;1026;66;258;62;58;4608;16;1
S_D5;P_H1;130;75;66;25;62;64;4608;512;0
S_D5;S_M1;130;67;66;258;62;59;4608;0;0
S_D5;P_F1;130;130;66;258;62;24;4608;0;0
S_D5;P_G3;130;188;66;37;62;40;4608;0;1
S_P40;S_O1;34;258;130;66;64;59;0;512;0
S_P40;P_E8;34;2596;130;258;64;41;0;4484;1
S_P40;R_D2;34;22;130;194;64;48;0;8728;1
S_P40;P_D1;34;271;130;122;64;53;0;0;0
S_P40;P_E2;34;2596;130;258;64;28;0;4160;0
S_P40;P_I1;34;767;130;194;64;30;0;0;0
S_P40;P_J1;34;35;130;37;64;33;0;0;1
S_P40;R_H1;34;173;130;33;64;39;0;3072;0
S_P40;R_I1;34;1026;130;258;64;58;0;16;1
S_P40;P_H1;34;75;130;25;64;64;0;512;1
S_P40;S_M1;34;67;130;258;64;59;0;0;1
S_P40;P_F1;34;130;130;258;64;24;0;0;1
S_P40;P_G3;34;188;130;37;64;40;0;0;0
S_P19;S_O1;110;258;130;66;38;59;0;512;0
S_P19;P_E8;110;2596;130;258;38;41;0;4484;1
S_P19;R_D2;110;22;130;194;38;48;0;8728;0
S_P19;P_D1;110;271;130;122;38;53;0;0;0
S_P19;P_E2;110;2596;130;258;38;28;0;4160;1
S_P19;P_I1;110;767;130;194;38;30;0;0;1
S_P19;P_J1;110;35;130;37;38;33;0;0;1
S_P19;R_H1;110;173;130;33;38;39;0;3072;0
S_P19;R_I1;110;1026;130;258;38;58;0;16;1
S_P19;P_H1;110;75;130;25;38;64;0;512;1
S_P19;S_M1;110;67;130;258;38;59;0;0;1
S_P19;P_F1;110;130;130;258;38;24;0;0;0
S_P19;P_G3;110;188;130;37;38;40;0;0;1
S_O3;S_O1;258;258;66;66;32;59;0;512;0
S_O3;P_E8;258;2596;66;258;32;41;0;4484;1
S_O3;R_D2;258;22;66;194;32;48;0;8728;0
S_O3;P_D1;258;271;66;122;32;53;0;0;0
S_O3;P_E2;258;2596;66;258;32;28;0;4160;0
S_O3;P_I1;258;767;66;194;32;30;0;0;0
S_O3;P_J1;258;35;66;37;32;33;0;0;1
S_O3;R_H1;258;173;66;33;32;39;0;3072;0
S_O3;R_I1;258;1026;66;258;32;58;0;16;1
