k1_name;k2_name;classification;knn;logistic_regression;mlp;xgb
P_H1;S_J6;0;0;0;0;0
P_H1;S_I1;0;0;0;0;0
P_H1;R_J7;1;0;0;1;1
P_H1;S_I2;0;0;0;0;0
P_H1;S_L1;0;1;0;1;0
P_H1;R_A2;0;0;0;0;0
P_H1;R_B2;0;0;0;0;1
P_H1;P_C1;0;0;0;1;0
P_H1;S_K5;0;0;0;0;0
S_M1;P_E6;1;0;0;0;0
P_F1;P_E6;0;1;0;1;0
P_F1;R_J4;1;0;0;0;0
P_F1;R_J7;1;0;0;1;0
P_F1;R_B2;0;0;0;0;0
P_G3;P_E6;0;0;0;0;0
P_G3;R_J4;0;0;0;0;0
P_G3;R_J7;0;0;0;0;0
P_G3;R_B2;0;1;1;1;1
S_O1;S_P15;0;1;0;1;1
S_O1;S_P4;1;1;0;1;1
S_O1;S_P38;1;0;0;0;0
S_O1;S_P37;1;0;0;0;1
S_O1;S_D3;1;1;0;1;0
S_O1;S_P40;1;0;0;0;0
S_O1;S_P19;0;1;0;1;0
S_O1;S_O3;0;0;0;1;1
S_O1;S_P9;0;0;0;1;1
